filmtv_id;titolo_originale;titolo_italiano;anno;genere;durata;voto;humor;ritmo;impegno;tensione;prezzo;anno_convertito;durata_convertita;voto_convertito;genere_convertito;sezione
2;Bugs Bunny's Third Movie: 1001 Rabbit Tales;Le 1001 favole di Bugs Bunny;1982;Animazione;76;7,7;3;3;0;0;5;1;1;3;1;1
3;18 anni tra una settimana;18 anni tra una settimana;1991;Drammatico;98;6,5;0;2;0;2;6;1;2;3;2;1
17;Ride a Wild Pony;A cavallo di un pony selvaggio;1976;Sentimentale;91;5,6;1;2;1;0;6;1;2;3;3;2
18;Diner;A cena con gli amici;1982;Commedia;95;7;2;2;0;1;6;1;2;3;4;1
20;A che servono questi quattrini?;A che servono questi quattrini?;1942;Commedia;85;5,9;3;1;1;0;5;1;1;3;4;1
22;A ciascuno il suo;A ciascuno il suo;1967;Drammatico;93;7,7;0;2;3;3;6;1;2;3;2;3
23;Dead-Bang;Dead Bang - A colpo sicuro;1989;Poliziesco;109;6;0;2;0;2;6;1;2;3;5;1
24;A... come assassino;A... come assassino;1966;Thriller;80;5,5;1;2;0;1;5;1;1;3;6;2
26;At Close Range;A distanza ravvicinata;1986;Drammatico;115;7,4;0;2;1;2;6;1;2;3;2;2
30;A Ghentar si muore facile;A Ghentar si muore facile;1968;Avventura;101;4,8;0;2;0;1;5;1;2;2;7;2
32;Sleeping with the Enemy;A letto con il nemico;1990;Drammatico;96;5,1;1;3;2;3;6;1;2;3;2;2
34;In Bed With Madonna;A letto con Madonna;1990;Documentario;111;5,3;1;3;0;0;6;1;2;3;8;2
36;Bowery at Midnight;A mezzanotte corre il terrore;1942;Horror;62;5,3;0;2;1;3;5;1;1;3;9;4
37;A mezzanotte va la ronda del piacere;A mezzanotte va la ronda del piacere;1975;Commedia;100;5,9;2;2;0;0;6;1;2;3;4;1
38;Mr. Majestyk;A muso duro;1974;Azione;105;6,2;0;3;2;2;6;1;2;3;10;2
45;Warning Sign;A pochi secondi dalla fine;1985;Catastrofico;99;4,8;0;2;1;1;5;1;2;2;11;2
47;About Last Night;A proposito della notte scorsa...;1986;Commedia;113;5,9;2;3;1;1;6;1;2;3;4;2
49;Fail-Safe;A prova di errore;1964;Drammatico;110;8,2;0;3;3;3;7;1;2;4;2;2
51;Some Like It Hot;A qualcuno piace caldo;1959;Commedia;120;9,1;4;3;2;2;8;1;3;4;4;1
53;A qualsiasi prezzo;A qualsiasi prezzo;1968;Avventura;94;3,7;1;2;0;1;5;1;2;2;7;2
54;Johnny O'Clock;A sangue freddo;1947;Thriller;95;7,7;1;3;1;3;6;1;2;3;6;1
55;Back to School;A scuola con papà;1986;Commedia;100;6,5;3;2;1;0;6;1;2;3;4;1
58;Driving Miss Daisy;A spasso con Daisy;1989;Commedia;100;7;2;2;3;1;6;1;2;3;4;3
59;Enid Is Sleeping;A spasso con la morta;1989;Commedia;102;7;3;2;0;1;6;1;2;3;4;1
61;The Appaloosa;A Sud Ovest di Sonora;1966;Western;98;6,9;0;2;1;3;6;1;2;3;12;4
63;...a tutte le auto della polizia...;...a tutte le auto della polizia...;1975;Poliziesco;100;5,4;0;2;0;2;6;1;2;3;5;1
67;You'll Like My Mother;A un passo dalla morte;1973;Thriller;94;7,8;0;3;1;3;6;1;2;3;6;2
68;Abbasso la miseria!;Abbasso la miseria!;1945;Commedia;90;6;2;2;0;0;6;1;2;3;4;1
69;Abbasso la ricchezza!;Abbasso la ricchezza!;1946;Commedia;93;5,6;2;2;1;0;6;1;2;3;4;1
71;Charlie Muffin;L'abbraccio dell'orso;1979;Spionaggio;109;6,2;1;2;1;3;6;1;2;3;13;4
73;Abbronzatissimi;Abbronzatissimi;1991;Commedia;114;3,2;2;1;0;0;5;1;2;2;4;1
74;The Deep;Abissi;1977;Avventura;130;5,2;1;2;1;2;7;1;3;3;7;1
77;Abe Lincoln in Illinois;Abramo Lincoln in Illinois;1940;Biografico;110;6,3;0;1;1;1;6;1;2;3;14;2
78;Absolute Beginners;Absolute Beginners;1986;Musicale;100;6,3;1;2;0;2;6;1;2;3;15;2
79;The Abyss;The Abyss;1989;Fantasy;138;7,2;0;3;0;3;7;1;3;3;16;1
80;Acapulco prima spiaggia... a sinistra;Acapulco prima spiaggia... a sinistra;1983;Commedia;88;4,3;3;2;1;1;4;1;1;2;4;1
82;Accadde a Damasco;Accadde a Damasco;1943;Commedia;88;3,5;1;1;0;2;4;1;1;2;4;4
83;Accadde al penitenziario;Accadde al penitenziario;1955;Commedia;95;5,5;2;2;1;1;6;1;2;3;4;1
84;It Happened Tomorrow;Avvenne domani;1944;Commedia;84;7,6;3;3;1;2;5;1;1;3;4;1
87;Made in Heaven;Accadde in Paradiso;1987;Sentimentale;102;5,6;2;2;0;1;6;1;2;3;3;1
88;September Affair;Accadde in settembre;1950;Commedia;104;6,7;2;0;0;0;6;1;2;3;4;1
89;It Happened One Night;Accadde una notte;1934;Commedia;108;8,5;3;3;1;2;7;1;2;4;4;1
92;Accattone;Accattone;1961;Drammatico;120;8,4;2;4;4;3;8;1;3;4;2;2
94;Arrêt sur image;Accusa: violenza carnale;1987;Drammatico;77;4,5;0;1;1;0;4;1;1;2;2;1
95;Achtung! Banditi!;Achtung! Banditi!;1951;Guerra;100;7;0;2;4;2;6;1;2;3;17;3
97;Water;Acqua in bocca;1985;Grottesco;97;6,9;2;3;0;1;6;1;2;3;18;2
100;Acque di primavera;Acque di primavera;1942;Drammatico;80;5,6;0;2;0;0;5;1;1;3;2;2
101;Action Jackson;Action Jackson;1988;Poliziesco;97;5,1;0;3;0;2;6;1;2;3;5;2
104;Mail Order Bride;Ad Ovest del Montana;1963;Western;90;6,2;1;2;0;1;6;1;2;3;12;2
105;Ad Ovest di Paperino;Ad Ovest di Paperino;1982;Commedia;95;6,2;2;2;1;0;6;1;2;3;4;1
107;Ada;Ada Dallas;1961;Drammatico;109;6,3;0;2;1;2;6;1;2;3;2;2
108;Adamo ed Eva;Adamo ed Eva;1949;Commedia;90;5;3;1;0;0;6;1;2;3;4;1
109;Adam and Evelyne;Adamo ed Evelina;1949;Commedia;92;6,7;1;2;1;0;6;1;2;3;4;2
110;Farewell to the King;Addio al re;1988;Guerra;107;6,8;1;2;1;2;6;1;2;3;17;1
111;A Farewell to Arms;Addio alle armi;1932;Guerra;78;6,9;1;3;2;3;5;1;1;3;17;2
114;Addio giovinezza!;Addio giovinezza!;1940;Drammatico;88;6,4;0;1;0;2;5;1;1;3;2;4
115;Goodbye My Lady;Addio Lady!;1956;Drammatico;95;6;0;2;0;2;6;1;2;3;2;1
117;Goodbye Mr. Chips!;Addio Mr. Chips!;1939;Sentimentale;114;7,3;1;3;2;2;6;1;2;3;3;2
118;The Browning Version;Addio Mr. Harris!;1951;Commedia;90;8,4;0;3;3;2;7;1;2;4;4;2
119;Addio Napoli!;Addio Napoli!;1954;Drammatico;86;2;0;0;2;1;3;1;1;1;2;3
121;The Miniver Story;Addio signora Miniver;1950;Drammatico;104;6,7;0;2;2;1;6;1;2;3;2;2
122;Une ravissante idiote;Una adorabile idiota;1963;Commedia;108;5,2;2;2;0;0;6;1;2;3;4;1
123;Unfaithfully Yours;Un'adorabile infedele;1984;Commedia;100;6,2;3;3;0;1;6;1;2;3;4;1
124;Beloved Infidel;Adorabile infedele;1959;Biografico;123;5,8;0;2;1;2;7;1;3;3;14;2
126;Adua e le compagne;Adua e le compagne;1960;Drammatico;98;7,8;2;3;4;4;6;1;2;3;2;3
127;Beröringen;L'adultera;1971;Drammatico;93;6;0;3;3;3;6;1;2;3;2;2
129;Adulterio all'italiana;Adulterio all'italiana;1966;Commedia;95;5,5;1;1;0;0;6;1;2;3;4;1
130;Adultero lui adultera lei;Adultero lui adultera lei;1963;Commedia;90;4,9;2;2;0;0;5;1;2;2;4;1
131;Airplane!;L'aereo più pazzo del mondo;1980;Commedia;90;7,5;4;2;1;1;6;1;2;3;4;1
132;Stewardess School;L'aereo più pazzo del mondo 3;1987;Commedia;93;3,6;1;2;0;0;5;1;2;2;4;2
133;Airplane II: The Sequel;L'aereo più pazzo del mondo... sempre più pazzo;1982;Commedia;84;5,9;4;4;2;1;5;1;1;3;4;1
134;Section Spéciale;L'affare della Sezione Speciale;1974;Drammatico;115;8,1;0;2;2;3;7;1;2;4;2;4
135;L'affaire Dominici;L'affare Dominici;1973;Thriller;106;7,7;0;2;3;3;6;1;2;3;6;3
136;The Defector;L'affare Goshenko;1966;Spionaggio;100;4,8;0;2;2;2;5;1;2;2;13;2
137;Big Business;Affari d'oro;1988;Commedia;92;5,5;2;3;0;1;6;1;2;3;4;2
138;Internal Affairs;Affari sporchi;1990;Poliziesco;112;6,5;0;2;1;2;6;1;2;3;5;2
140;The Notorious Landlady;L'affittacamere;1962;Commedia;98;7,2;3;3;0;0;6;1;2;3;4;1
142;Burglar;Affittasi ladra;1987;Commedia;103;3,9;1;2;0;1;5;1;2;2;4;2
143;The Valiant;L'affondamento della Valiant;1961;Guerra;90;4,9;0;2;2;1;5;1;2;2;17;2
144;Africa addio;Africa addio;1966;Documentario;140;5,1;0;2;0;3;8;1;4;3;8;4
145;Africa Express;Africa Express;1975;Avventura;95;5,4;1;2;0;1;6;1;2;3;7;2
146;Africa sotto i mari;Africa sotto i mari;1952;Avventura;95;4,3;0;1;0;1;5;1;2;2;7;1
150;L'âge d'or;L'âge d'or;1930;Drammatico;60;8,5;2;2;4;3;6;1;1;4;2;3
151;Taking Care of Business;Filofax - Un'agenda che vale un tesoro;1990;Commedia;109;4,9;2;3;0;1;5;1;2;2;4;2
153;On Her Majesty's Secret Services;Agente 007. Al servizio segreto di Sua Maestà;1969;Spionaggio;140;7,3;1;3;0;2;8;1;4;3;13;2
154;From Russia with Love;A 007. Dalla Russia con amore;1963;Spionaggio;115;7,4;1;3;0;2;6;1;2;3;13;2
155;The Man with the Golden Gun;Agente 007. L'uomo dalla pistola d'oro;1974;Spionaggio;122;5,9;2;4;1;2;7;1;3;3;13;2
158;You Only Live Twice;Agente 007. Si vive solo due volte;1967;Spionaggio;116;6,5;2;3;1;3;6;1;2;3;13;2
159;Thunderball;Agente 007. Thunderball (Operazione Tuono);1965;Spionaggio;132;7,1;1;3;0;2;7;1;3;3;13;2
162;Diamonds Are Forever;Agente 007. Una cascata di diamanti;1971;Spionaggio;122;6;1;2;0;2;7;1;3;3;13;2
164;Dangerous Mission;Agente federale X3;1954;Thriller;75;3,6;0;1;0;3;4;1;1;2;6;4
165;Under Cover;Agente Hauser: non entrare in quella scuola;1987;Thriller;92;6;0;2;0;2;6;1;2;3;6;1
167;Agente segreto 777 - Invito a uccidere;Agente segreto 777 - Invito a uccidere;1965;Spionaggio;90;2,7;0;1;0;1;4;1;2;1;13;1
168;Agente segreto 777 - Operazione mistero;Agente segreto 777 - Operazione mistero;1966;Spionaggio;90;3,8;1;2;0;2;5;1;2;2;13;2
169;Madame Sin;Agente segreto al servizio di Madame Sin;1972;Spionaggio;73;4,8;1;2;0;2;4;1;1;2;13;2
173;The Pawnshop;Agenzia dei pegni;1916;Commedia;42;6,8;3;3;0;0;5;1;1;3;4;1
174;The Ultimate Solution of Grace Quigley;Agenzia omicidi;1984;Commedia;102;5,6;2;2;0;2;6;1;2;3;4;1
176;Agguato a Tangeri;Agguato a Tangeri;1957;Thriller;88;4,8;0;2;0;2;4;1;1;2;6;1
177;Across the Pacific;Agguato ai tropici;1942;Spionaggio;97;7;0;2;1;2;6;1;2;3;13;2
178;Hard Ticket to Hawaii;Agguato alle Hawaii;1987;Poliziesco;96;3,3;1;3;0;1;5;1;2;2;5;2
181;Die Flusspiraten vom Mississippi;Agguato sul grande fiume;1964;Western;86;3,5;0;2;0;1;4;1;1;2;12;2
182;Agi Murad il diavolo bianco;Agi Murad il diavolo bianco;1959;Avventura;100;5,8;0;2;0;2;6;1;2;3;7;1
183;Agnes of God;Agnese di Dio;1985;Drammatico;98;6,1;0;2;1;2;6;1;2;3;2;2
186;Ai margini della metropoli;Ai margini della metropoli;1953;Drammatico;95;5,7;0;1;1;2;6;1;2;3;2;4
188;Aida;Aida;1953;Musicale;97;5,9;0;2;1;2;6;1;2;3;15;2
189;Air America;Air America;1990;Avventura;106;5,2;0;3;0;2;6;1;2;3;7;2
193;Airport '77;Airport '77;1977;Catastrofico;110;4,7;0;2;0;1;5;1;2;2;11;2
194;Baby on Board;Aiuto! Chi ha lasciato la bambina in taxi?;1991;Commedia;100;5,2;1;2;0;1;6;1;2;3;4;2
198;Akiko;Akiko;1961;Commedia;99;4,4;2;2;0;1;5;1;2;2;4;1
199;Al bar dello sport;Al bar dello sport;1983;Commedia;100;5,2;2;2;1;0;6;1;2;3;4;1
200;Al calar della sera;Al calar della sera;1992;Thriller;90;4,4;0;2;1;2;5;1;2;2;6;2
201;Al Capone;Al Capone;1959;Gangster;104;6,4;0;2;3;3;6;1;2;3;19;3
202;Storm Center;Al centro dell'uragano;1956;Drammatico;87;6,3;0;0;0;0;5;1;1;3;2;1
204;Drums Across the River;Al di là del fiume;1954;Western;78;7,5;1;3;0;0;5;1;1;3;12;2
205;Die Nackte und der Satan;Al di là dell'orrore;1959;Horror;92;7,3;1;3;1;3;6;1;2;3;9;1
207;Al di là della legge;Al di là della legge;1968;Western;95;5,2;1;2;1;1;6;1;2;3;12;2
208;All the Way Home;Al di là della vita;1963;Drammatico;103;7,6;0;2;0;2;6;1;2;3;2;1
209;The Lawyer;Al di là di ogni ragionevole dubbio;1970;Drammatico;117;7,5;0;2;0;3;6;1;2;3;2;4
210;Above Suspicion;Al di sopra di ogni sospetto;1943;Spionaggio;91;5,7;1;2;1;2;6;1;2;3;13;1
212;Al diavolo la celebrità;Al diavolo la celebrità;1949;Commedia;90;5,7;2;2;0;0;6;1;2;3;4;1
213;I'll Be Seeing You;Al tuo ritorno;1945;Commedia;85;6,5;2;2;1;1;5;1;1;3;4;1
214;Alambrado;Alambrado;1991;Drammatico;90;7,2;0;1;0;3;6;1;2;3;2;4
216;Alamo Bay;Alamo Bay;1985;Drammatico;103;6,3;0;2;2;3;6;1;2;3;2;4
217;Steel Dawn;Alba d'acciaio;1987;Fantasy;100;5;0;3;0;1;6;1;2;3;16;2
219;Dawn at Socorro;Alba di fuoco;1954;Western;84;6,2;0;0;0;0;5;1;1;3;12;1
220;Le jour se lève;Alba tragica;1939;Drammatico;87;8,1;0;3;3;3;6;1;1;4;2;2
221;L'albergo degli assenti;L'albergo degli assenti;1939;Thriller;90;7;0;3;1;4;6;1;2;3;6;4
223;The Hanging Tree;L'albero degli impiccati;1959;Western;100;7,7;1;2;1;2;6;1;2;3;12;1
224;Raintree County;L'albero della vita;1957;Drammatico;146;6,7;0;2;2;2;8;1;4;3;2;2
225;L'albero di Adamo;L'albero di Adamo;1936;Commedia;77;6,5;2;2;0;1;5;1;1;3;4;1
227;Aldebaran;Aldebaran;1935;Drammatico;98;4,3;0;2;1;1;5;1;2;2;2;2
228;O Megalexandros;Alessandro il Grande;1980;Drammatico;220;7,6;0;1;4;1;8;1;4;3;2;3
229;Alfie;Alfie;1966;Drammatico;110;7,5;1;2;2;2;6;1;2;3;2;2
230;Alfredo Alfredo;Alfredo Alfredo;1972;Commedia;110;7;2;2;2;1;6;1;2;3;4;1
231;Alfred the Great;Alfredo il Grande;1969;Biografico;120;8,1;0;3;1;2;8;1;3;4;14;2
232;Q Planes;Ali che non tornano;1939;Spionaggio;82;7,3;0;2;0;3;5;1;1;3;13;4
233;Nightwing;Le ali della notte;1979;Horror;105;5,7;0;1;0;0;6;1;2;3;9;2
236;Time Without Pity;L'alibi dell'ultima ora;1956;Thriller;88;7,9;0;3;2;3;5;1;1;3;6;2
237;Ein Alibi zerbricht;Alibi per un assassino;1963;Thriller;90;6,3;0;2;0;2;6;1;2;3;6;1
238;Her Alibi;Alibi seducente;1989;Commedia;95;6;2;2;0;2;6;1;2;3;4;1
239;Nightfall;L'alibi sotto la neve;1956;Poliziesco;78;7,7;1;3;1;3;5;1;1;3;5;1
240;Alice;Alice;1990;Commedia;106;6,7;2;2;1;1;6;1;2;3;4;1
241;Alice Doesn't Live Here Anymore;Alice non abita più qui;1974;Drammatico;107;7,7;2;3;3;3;6;1;2;3;2;2
242;Alien;Alien;1979;Fantasy;115;8,5;0;3;2;4;7;1;2;4;16;4
243;Alien degli abissi;Alien degli abissi;1989;Fantasy;92;3,4;0;2;0;1;5;1;2;2;16;2
244;Alien Predator;Alien Predator;1987;Fantasy;92;2,7;0;1;0;1;4;1;2;1;16;1
246;The Hidden;L'alieno;1987;Fantasy;97;7,3;1;2;0;2;6;1;2;3;16;2
247;Aliens;Aliens. Scontro finale;1986;Fantasy;136;8;1;4;1;4;8;1;3;4;16;1
248;Breaking Away;All American Boys;1979;Commedia;101;7,3;2;3;3;1;6;1;2;3;4;2
